Key,English
dkGSKTNMExplrRwdmeleeWpnSledgeT3SteelSledgehammer,"[TheNoMad:WorldExplorationReward] Weapon/Tool Tier III: zGTW16800WT3SteelSledgehammer\nThis exploring reward requires 16800 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdmeleeWpnSpearT3SteelSpear,"[TheNoMad:WorldExplorationReward] Weapon/Tool Tier III: zGTW16800WT3SteelSpear\nThis exploring reward requires 16800 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorSteelBoots,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW24000AROBoots\nThis exploring reward requires 24000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorSteelChest,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW24000AROChest\nThis exploring reward requires 24000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorSteelGloves,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW24000AROGloves\nThis exploring reward requires 24000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorSteelHelmet,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW24000AROHelmet\nThis exploring reward requires 24000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorSteelLegs,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW24000AROLegs\nThis exploring reward requires 24000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMilitaryBoots,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROBoots\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMilitaryGloves,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROGloves\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMilitaryHelmet,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROHelmet\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMilitaryLegs,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROLegs\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMilitaryStealthBoots,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROStealthBoots\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMilitaryVest,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROVest\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorFirefightersHelmet,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW28800AROHelmetFirefighters\nThis exploring reward requires 28800 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorFootballHelmet,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW09600AROHelmetFootball\nThis exploring reward requires 9600 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorMiningHelmet,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW12000AROHelmetMining\nThis exploring reward requires 12000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdarmorSwatHelmet,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW24000AROHelmetSwat\nThis exploring reward requires 24000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelGhillieSuitJacket,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROGhillieJacket\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelGhillieSuitPants,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROGhilliePants\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelGhillieSuitHood,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROGhillieHood\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelHazmatMask,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROHazmatMask\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelHazmatGloves,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROHazmatGloves\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelHazmatJacket,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROHazmatJacket\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelHazmatPants,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROHazmatPants\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdapparelHazmatBoots,"[TheNoMad:WorldExplorationReward] Armor and Outfit: zGTW36000AROHazmatBoots\nThis exploring reward requires 36000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceAcid,"[TheNoMad:WorldExplorationReward] Resource: zGTW00420RSCAcid\nThis exploring reward requires 420 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceAnimalFatBall,"[TheNoMad:WorldExplorationReward] Resource: zGTW00060RSCAnimalFatBall\nThis exploring reward requires 60 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceAnimalFat,"[TheNoMad:WorldExplorationReward] Resource: zGTW00060RSCAnimalFat\nThis exploring reward requires 60 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceArrowHeadIron,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCArrowHeadIron\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceArrowHeadSteelAP,"[TheNoMad:WorldExplorationReward] Resource: zGTW00120RSCArrowHeadSteelAP\nThis exploring reward requires 120 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceBone,"[TheNoMad:WorldExplorationReward] Resource: zGTW00015RSCBone\nThis exploring reward requires 15 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceBrokenGlass,"[TheNoMad:WorldExplorationReward] Resource: zGTW00015RSCBrokenGlass\nThis exploring reward requires 15 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceBuckshot,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCBuckshot\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceBulletCasing,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCBulletCasing\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceBulletTip,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCBulletTip\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCandleStick,"[TheNoMad:WorldExplorationReward] Resource: zGTW00360RSCCandleStick\nThis exploring reward requires 360 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCement,"[TheNoMad:WorldExplorationReward] Resource: zGTW00075RSCCement\nThis exploring reward requires 75 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceClayLump,"[TheNoMad:WorldExplorationReward] Resource: zGTW00018RSCClayLump\nThis exploring reward requires 18 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCloth,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCCloth\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCoal,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCCoal\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCobblestones,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCCobblestones\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceConcreteMix,"[TheNoMad:WorldExplorationReward] Resource: zGTW00375RSCConcreteMix\nThis exploring reward requires 375 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCropAloeLeaf,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCCropAloeLeaf\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCropChrysanthemumPlant,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCCropChrysanthemumPlant\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCropCoffeeBeans,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCCropCoffeeBeans\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCropCottonPlant,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCCropCottonPlant\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCropGoldenrodPlant,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCCropGoldenrodPlant\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCropHopsFlower,"[TheNoMad:WorldExplorationReward] Resource: zGTW00015RSCCropHopsFlower\nThis exploring reward requires 15 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceCrushedSand,"[TheNoMad:WorldExplorationReward] Resource: zGTW00150RSCCrushedSand\nThis exploring reward requires 150 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceDoorKnob,"[TheNoMad:WorldExplorationReward] Resource: zGTW00120RSCDoorKnob\nThis exploring reward requires 120 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceDuctTape,"[TheNoMad:WorldExplorationReward] Resource: zGTW00075RSCDuctTape\nThis exploring reward requires 75 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceElectricParts,"[TheNoMad:WorldExplorationReward] Resource: zGTW00096RSCElectricParts\nThis exploring reward requires 96 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceFeather,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCFeather\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceFishingWeight,"[TheNoMad:WorldExplorationReward] Resource: zGTW00075RSCFishingWeight\nThis exploring reward requires 75 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceForgedIron,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCForgedIron\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceForgedSteel,"[TheNoMad:WorldExplorationReward] Resource: zGTW00150RSCForgedSteel\nThis exploring reward requires 150 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceGlue,"[TheNoMad:WorldExplorationReward] Resource: zGTW00060RSCGlue\nThis exploring reward requires 60 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceGoldNugget,"[TheNoMad:WorldExplorationReward] Resource: zGTW02100RSCGoldNugget\nThis exploring reward requires 2100 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceGunPowder,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCGunPowder\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceHeadlight,"[TheNoMad:WorldExplorationReward] Resource: zGTW00720RSCHeadlight\nThis exploring reward requires 720 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceLeather,"[TheNoMad:WorldExplorationReward] Resource: zGTW00066RSCLeather\nThis exploring reward requires 66 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceLockPickBundle,"[TheNoMad:WorldExplorationReward] Resource: zGTW15000RSCLockPickBundle (BUNDLE)\nThis exploring reward requires 15000 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceLockPick,"[TheNoMad:WorldExplorationReward] Resource: zGTW00300RSCLockPick\nThis exploring reward requires 300 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceMechanicalParts,"[TheNoMad:WorldExplorationReward] Resource: zGTW00096RSCMechanicalParts\nThis exploring reward requires 96 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceMetalPipe,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCMetalPipe\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceMilitaryFiber,"[TheNoMad:WorldExplorationReward] Resource: zGTW00150RSCMilitaryFiber\nThis exploring reward requires 150 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceNail,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCNail\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceOil,"[TheNoMad:WorldExplorationReward] Resource: zGTW00300RSCOil\nThis exploring reward requires 300 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourceOilShale,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCOilShale\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourcePaint,"[TheNoMad:WorldExplorationReward] Resource: zGTW00036RSCPaint\nThis exploring reward requires 36 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourcePaper,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCPaper\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
dkGSKTNMExplrRwdresourcePotassiumNitratePowder,"[TheNoMad:WorldExplorationReward] Resource: zGTW00030RSCPotassiumNitratePowder\nThis exploring reward requires 30 credits.\nYou still have {cvar(iGSKexplorationCredits:0)} exploring credits.\nA courier will bring the reward to you (See *Delivery notes).\nTo collect POI exploring reward credits you must be careful, read exploring tip about such rewards if you need.\n It is not possible to get all rewards, so chose wisely."
