Key,English
dkGSKStarterHintOasis2,"The barely readable note is strange.. could it mean '3131W 3131S'? Better check if there is something useful there as soon I can, and may be I should bring a dynamite too."

dkNVBatteryCreateDbg,"Uses stored battery energy to create NV batteries.\n[PRIMARY] action WeakBattery\n[SECONDARY] action StrongBattery"
dkNVBatteryCreate,"Uses stored battery energy to create NV batteries.\n[PRIMARY] action WeakBattery"
dkNVBatteryCreateStrong,"Uses stored battery energy to create NV batteries.\n[PRIMARY] action StrongBattery"

_AUTOGENCODE_CREATEBUNDLES_BEGIN,"BELOW:===== DO NOT MODIFY, USE THE AUTO-GEN SCRIPT: createBundles.sh ====="
dkGSKFreeBundleExpLossInfo_NOTE,"CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time."
GSKForgeCraftingSchematicsBundle,"[NoMad]BD:ForgeCrafting Schematics"
dkGSKForgeCraftingSchematicsBundle,"Use this when you want to begin creating and using forges, also has cementmixer.\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperForgeCraftingSchematics:0)}): 4000*({cvar(iGSKForgeCraftingSchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  cementMixerSchematic+1, forgeSchematic+1, toolAnvilSchematic+1, toolBellowsSchematic+1, toolForgeCrucibleSchematic+1\n "
GSKExploringNPCBundle,"[NoMad]BD:ExploringNPC "
dkGSKExploringNPCBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\nUse this if you want a friendly hand (or paw).\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperExploringNPC:0)}): 6836*({cvar(iGSKExploringNPCBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  casinoCoin+666, foodRawMeat+3, GSKspawnDogCompanion+3, GSKCFGNPCproperSneakingWorkaround+1, vehicleGSKNPChelperPlaceable+1, GSKNPCHiredHeals30perc+13, GSKNPCHiredHeals180perc+1, GSKNPCHiredGetsPowerArmor+1, RepairNPCArmor+6, NPCPreventDismiss60s+3\n "
GSKExploringVisibilityBundle,"[NoMad]BD:ExploringVisibility "
dkGSKExploringVisibilityBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\nThis helps on seeing the world.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperExploringVisibility:0)}): 5409*({cvar(iGSKExploringVisibilityBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  apparelNightvisionGoggles+1, GlowStickGreen+33, GSKfireFuel+13, meleeToolFlashlight02+1, meleeToolTorch+1, NightVisionBattery+66\n  Obs.: Some of these equipment or devices are severely damaged and wont last long w/o repairs."
GSKExploringVisibilitySchematicsBundle,"[NoMad]BD:ExploringVisibility Schematics"
dkGSKExploringVisibilitySchematicsBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\nThis helps on seeing the world.\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperExploringVisibilitySchematics:0)}): 1600*({cvar(iGSKExploringVisibilitySchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  modArmorHelmetLightSchematic+1, modGunFlashlightSchematic+1\n "
GSKExploringMobilityBundle,"[NoMad]BD:ExploringMobility "
dkGSKExploringMobilityBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\nThis helps on moving thru the world.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperExploringMobility:0)}): 22860*({cvar(iGSKExploringMobilityBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  bedrollBlue+33, cobblestoneShapes:VariantHelper+66, drinkCanMegaCrush+2, drinkJarBoiledWater+33, drugGSKPsyonicsResist+13, drugSteroids+13, GSKsimpleBeer+33, ladderWood+66, RepairColdProt+13, RepairHeatProt+13, resourceCloth+33, resourceRockSmall+222\n "
GSKExploringMobilitySchematicsBundle,"[NoMad]BD:ExploringMobility Schematics"
dkGSKExploringMobilitySchematicsBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\nThis helps on moving thru the world.\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperExploringMobilitySchematics:0)}): 1601*({cvar(iGSKExploringMobilitySchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  vehicleBicycleChassisSchematic+1, vehicleBicycleHandlebarsSchematic+1, vehicleGSKNPChelperPlaceable+1\n "
GSKExploringETCBundle,"[NoMad]BD:ExploringETC "
dkGSKExploringETCBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\nThis have a few other things to help open locked containers, cooking, etc\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperExploringETC:0)}): 2981*({cvar(iGSKExploringETCBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  drinkCanEmptyCookingOneUse+33, drugJailBreakers+3, thrownTimedCharge+9, resourceDuctTape+1, resourceMechanicalParts+1, resourceFeather+1, resourceLockPick+1, resourceWood+66, resourceYuccaFibers+33\n "
GSKCombatWeaponsBundle,"[NoMad]BD:CombatWeapons "
dkGSKCombatWeaponsBundle,"use this if you are not having a reasonable chance against mobs\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperCombatWeapons:0)}): 23215*({cvar(iGSKCombatWeaponsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  ammo9mmBulletBall+1998, ammoArrowStone+33, gunHandgunT1PistolPartsRepair+33, gunHandgunT3SMG5+1, modGunScopeSmall+1, thrownAmmoMolotovCocktail6s+13, thrownAmmoStunGrenade+13, trapSpikesIronDmg0+33, resourceNail+66\n "
GSKCombatWeaponsSchematicsBundle,"[NoMad]BD:CombatWeapons Schematics"
dkGSKCombatWeaponsSchematicsBundle,"use this if you are not having a reasonable chance against mobs\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperCombatWeaponsSchematics:0)}): 1300*({cvar(iGSKCombatWeaponsSchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  bookRangersExplodingBolts+1, thrownDynamiteSchematic+1\n "
GSKCombatArmorHelmetBundle,"[NoMad]BD:CombatArmorHelmet "
dkGSKCombatArmorHelmetBundle,"Use this if you are taking too much damage. You should use this anyway otherwise ranged raiders become unreasonably difficult.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperCombatArmorHelmet:0)}): 775*({cvar(iGSKCombatArmorHelmetBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  armorFirefightersHelmet+1, armorFootballHelmet+1, armorMilitaryHelmet+1, armorSwatHelmet+1\n "
GSKCombatArmorBundle,"[NoMad]BD:CombatArmor "
dkGSKCombatArmorBundle,"Use this if you are taking too much damage.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperCombatArmor:0)}): 301*({cvar(iGSKCombatArmorBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  GSKTheNoMadOverhaulCreateRespawnBundleCombatArmorHelmet+1, armorClothJacket+1, armorClothGloves+1, armorClothPants+1, armorClothBoots+1\n "
GSKTeleportHelpersBundle,"[NoMad]BD:TeleportHelpers "
dkGSKTeleportHelpersBundle,"Use this if you want to relocate thru the world.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperTeleportHelpers:0)}): 3499*({cvar(iGSKTeleportHelpersBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  GSKElctrnTeleportToBiomeFreeAndSafeCall+1, GSKteleToBackpackFreeAndSafeCall+1\n "
GSKElctrnEnergyBundle,"[NoMad]BD:ElctrnEnergy "
dkGSKElctrnEnergyBundle,"Use this if you want to start using and crafting Elctrn mods, this will increase your combat survival chances.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperElctrnEnergy:0)}): 9338*({cvar(iGSKElctrnEnergyBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  ammoJunkTurretRegular+666, armorClothHat+1, drugOhShitzDrops+1, gunBotT2JunkTurret+1, GSKNoteElctrnTeleporToSkyFirstTime+1, modGSKEnergyThorns+1, NightVisionBattery+13, NVBatteryCreate+1\n  Obs.: Some of these equipment or devices are severely damaged and wont last long w/o repairs."
GSKElctrnEnergySchematicsBundle,"[NoMad]BD:ElctrnEnergy Schematics"
dkGSKElctrnEnergySchematicsBundle,"Use this if you want to start using and crafting Elctrn mods, this will increase your combat survival chances.\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperElctrnEnergySchematics:0)}): 2900*({cvar(iGSKElctrnEnergySchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  batterybankSchematic+1, bookTechJunkie5Repulsor+1, generatorbankSchematic+1, gunBotT2JunkTurretSchematic+1\n "
GSKHealingHarmBundle,"[NoMad]BD:HealingHarm "
dkGSKHealingHarmBundle,"Use this if you have any disease or infection and is almost dieing, don't wait too much tho!\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingHarm:0)}): 1536*({cvar(iGSKHealingHarmBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  drinkJarPureMineralWater+2, drugPainkillers+1, drugVitamins+1, drugAntibiotics+4, drugGSKsnakePoisonAntidote+3, foodHoney+1, medicalSplint+3, resourceSewingKit+1\n "
GSKHealingHarmSchematicsBundle,"[NoMad]BD:HealingHarm Schematics"
dkGSKHealingHarmSchematicsBundle,"Use this if you have any disease or infection and is almost dieing, don't wait too much tho!\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingHarmSchematics:0)}): 2300*({cvar(iGSKHealingHarmSchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  bookWasteTreasuresHoney+1, drinkJarGoldenRodTeaSchematic+1, drugAntibioticsSchematic+1, drugHerbalAntibioticsSchematic+1\n "
GSKHealingRadsBundle,"[NoMad]BD:HealingRads "
dkGSKHealingRadsBundle,"Use this if you are having trouble dealing with radiation.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingRads:0)}): 3055*({cvar(iGSKHealingRadsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  drugGSKAntiRadiation+13, drugGSKAntiRadiationSlow+13, drugGSKAntiRadiationStrong+13, drugGSKRadiationResist+13\n "
GSKHealingFeedBundle,"[NoMad]BD:HealingFeed "
dkGSKHealingFeedBundle,"Use this if you need food and water.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingFeed:0)}): 926*({cvar(iGSKHealingFeedBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  drinkJarBoiledWater+13, treePlantedMountainPine1m+13, foodSpaghetti+1\n "
GSKHealingFeedSchematicsBundle,"[NoMad]BD:HealingFeed Schematics"
dkGSKHealingFeedSchematicsBundle,"Use this if you need food and water.\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingFeedSchematics:0)}): 800*({cvar(iGSKHealingFeedSchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  modArmorWaterPurifierSchematic+1\n "
GSKHealingHPBundle,"[NoMad]BD:HealingHP "
dkGSKHealingHPBundle,"Use this if you have not managed to heal yourself yet or is having trouble doing that, don't wait too much tho!\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingHP:0)}): 769*({cvar(iGSKHealingHPBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  medicalBloodBag+13, medicalBloodBagEmpty+9, drinkJarGrandpasMoonshine+1, medicalFirstAidBandage+13\n "
GSKHealingHPSchematicsBundle,"[NoMad]BD:HealingHP Schematics"
dkGSKHealingHPSchematicsBundle,"Use this if you have not managed to heal yourself yet or is having trouble doing that, don't wait too much tho!\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingHPSchematics:0)}): 1000*({cvar(iGSKHealingHPSchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  foodBoiledMeatBundleSchematic+1, medicalFirstAidBandageSchematic+1\n "
GSKHealingCraftBundle,"[NoMad]BD:HealingCraft "
dkGSKHealingCraftBundle,"Use this if you want to craft or redistribute skill points.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperHealingCraft:0)}): 1587*({cvar(iGSKHealingCraftBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  bucketRiverWater+1, toolBeaker+1, potionRespec+1\n "
GSKFarmingBundle,"[NoMad]BD:Farming "
dkGSKFarmingBundle,"Use this if you need to be able to harvest and craft antibiotics.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperFarming:0)}): 938*({cvar(iGSKFarmingBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  farmPlotBlockVariantHelper+13, plantedBlueberry1+15, plantedMushroom1+9\n "
GSKFarmingSchematicsBundle,"[NoMad]BD:Farming Schematics"
dkGSKFarmingSchematicsBundle,"Use this if you need to be able to harvest and craft antibiotics.\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperFarmingSchematics:0)}): 1200*({cvar(iGSKFarmingSchematicsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  plantedBlueberry1Schematic+1, plantedMushroom1Schematic+1\n "
GSKBasicCampingKitBundle,"[NoMad]BD:BasicCampingKit "
dkGSKBasicCampingKitBundle,"Some basic things to quickly set a tiny camp with shelter and cook a bit.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperBasicCampingKit:0)}): 1740*({cvar(iGSKBasicCampingKitBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  bedrollBlue+1, campfire+1, drinkCanEmptyCookingOneUse+3, candleTableLightPlayer+1, cntSecureStorageChest+1, meleeToolRepairT0StoneAxe+1, resourceRockSmall+13, resourceWood+33, drinkCanEmpty+3\n "
GSKMinimalSurvivalKitBundle,"[NoMad]BD:MinimalSurvivalKit "
dkGSKMinimalSurvivalKitBundle,"Minimal helpful stuff.\n Experience Penalty when opening this bundle(Remaining open count {cvar(iGSKRespawnItemsBundleHelperMinimalSurvivalKit:0)}): 2344*({cvar(iGSKMinimalSurvivalKitBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  bedrollBlue+1, drinkCanEmptyCookingOneUse+3, drinkJarBoiledWater+2, drugSteroids+1, GlowStickGreen+13, drugGSKAntiRadiationStrong+2, drugGSKPsyonicsResist+3, drugGSKsnakePoisonAntidote+1, GSKfireFuel+5, GSKsimpleBeer+3, medicalFirstAidBandage+3, medicalSplint+1, meleeToolTorch+1, resourceRockSmall+15\n "
GSKMapsBundle,"[NoMad]BD:Maps "
dkGSKMapsBundle,"My tribe is gone, what will I do now..\n Experience Penalty when opening this bundle (This bundle can only be opened ONCE!)(Remaining open count {cvar(iGSKRespawnItemsBundleHelperMaps:0)}): 20001*({cvar(iGSKMapsBundleCount:0)}+1)/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  NOTE_LostTribe+1, qt_taylor+1, qt_nickole+1, qt_stephan+1, qt_jennifer+1, qt_claude+1, qt_sarah+1, qt_raphael+1, startNewGameOasisHint+1, thrownDynamite+8\n "
GSKSomeSchematicBundlesBundle,"[NoMad]BD:SomeSchematicBundles "
